This is the collection of GM vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2018 GMC Acadia Denali E AWD	6	3.6	automático	gasolina premium	5
2009 GMC Canyon B	5	3.7	automático	gasolina premium	4
2010 Buick Enclave CXL AWD C	6	3.6	automático	gasolina premium	5
2017 Chevrolet Aveo LS P AT	4	1.6	automático	gasolina	4
2008 Chevrolet Cheyenne 2500 Cab Reg L	8	5.3	automático	gasolina premium	2
CHEVROLET Corvette 1985	8		Automatica	Gasolina	
2012 Chevrolet Cruze 4 ptas A	4	1.8	automático	gasolina	4
2005 Chevrolet Equinox LS TELA A	6	3.4	automático	gasolina premium	4
2015 Chevrolet Malibu 2.5 C LT TA	4	2.5	automático	gasolina premium	4
2015 Chevrolet Sonic TM D	4	1.6	manual	gasolina	4
2017 Chevrolet Spark LTZ C TM	4	1.4	manual	gasolina	5
2017 Chevrolet Spark LTZ C TM	4	1.4	manual	gasolina	5
2017 Chevrolet Tahoe LS A	8	5.3	automático	gasolina	5
2008 GMC Yukon B Piel	8	5.3	automático	gasolina premium	5
2008 Hummer H3 SUV D Alpha	8	5.3	automático	gasolina premium	5
2017 Cadillac XT5 Platinum P	6	3.6	automático	gasolina premium	5
2012 Chevrolet Aveo AT E	4	1.6	automático	gasolina	4
2017 Chevrolet Aveo LT W MT	4	1.6	manual	gasolina	4
2015 Chevrolet Aveo E LTZ, Automático, Bluetooth, Bolsas de	4	1.6	automático	gasolina	4
2009 Chevrolet Captiva Sport LT Paq. C	6	3.6	automático	gasolina premium	5
2006 Chevrolet Chevy 4 ptas Base AC M	4	1.6	manual	gasolina premium	4
2016 Chevrolet Cruze LS Turbo A	4	1.4	manual	gasolina	4
2012 Chevrolet Express Pasajeros Van L	8	5.3	automático	gasolina premium	5
2015 Chevrolet Malibu 2.0 G LTZ Turbo Nav TA	4	2.0	automático	gasolina premium	4
2017 Chevrolet Malibu 1.5 A LS Turbo TA	4	1.5	automático	gasolina premium	4
2012 Chevrolet Matiz A	4	1.0	manual	gasolina	5
2010 Chevrolet Optra AT AC D	4	2.0	automático	gasolina premium	4
2017 Chevrolet Suburban LS A	8	5.3	automático	gasolina	5
2005 Chevrolet Tornado Pick up B	4	1.8	manual	gasolina premium	2
2014 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2014 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2015 GMC Sierra Denali AWD E	8	6.2	automático	gasolina premium	4
2007 Pontiac G5 LS Tela E	4	2.2	automático	gasolina premium	4
2016 Chevrolet Aveo LTZ D MT	4	1.6	manual	gasolina	4
2018 Chevrolet Aveo LT W MT	4	1.6	manual	gasolina	4
2013 Chevrolet Cheyenne 2500 Cheyenne Cab Ext 4X4 B	8	5.3	automático	gasolina	4
2016 Chevrolet Sonic LTZ F TA	4	1.6	automático	gasolina	4
2016 Chevrolet Sonic LTZ F TA	4	1.6	automático	gasolina	4
2017 Chevrolet Spark Classic LTZ C TM	4	1.2	manual	gasolina	5
2007 GMC Sierra 4x2 Crew Cab A	8	5.3	automático	gasolina premium	4
2017 Buick Enclave Premium D AWD	6	3.6	automático	gasolina premium	5
2012 Cadillac CTS Coupe C	6	3.6	automático	gasolina premium	2
2016 Cadillac Escalade SUV AWD Platinum P	8	6.2	automático	gasolina premium	5
2017 Chevrolet Aveo LTZ Y AT	4	1.6	automático	gasolina	4
2016 Chevrolet Aveo LT C AT	4	1.6	automático	gasolina	4
2018 Chevrolet Beat LT B TM	4	1.2	manual	gasolina	5
2009 Chevrolet Cheyenne 2500 Crew Cab B	8	5.3	automático	gasolina premium	4
2006 Chevrolet Malibu 4 ptas A	4	2.2	automático	gasolina premium	4
2012 Chevrolet Silverado 1500 1500 Cab Reg D	6	4.3	manual	gasolina	2
2016 Chevrolet Sonic LT E TA	4	1.6	automático	gasolina	4
2009 Chevrolet Traverse LT Piel con Quemacocos B	6	3.6	automático	gasolina premium	5
2015 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2017 GMC Terrain Denali D	6	3.6	automático	gasolina premium	5
2016 Cadillac CTS V Series Sedan	8	6.2	automático	gasolina premium	4
2017 Chevrolet Aveo LS P AT	4	1.6	automático	gasolina	4
2015 Chevrolet Aveo B LT, Manual con A/A, alarma, radio, Blu	4	1.6	manual	gasolina	4
2013 Chevrolet Captiva Sport LT Paq. D	6	3.0	automático	gasolina	5
2012 Chevrolet Captiva Sport LT Paq. D	6	3.0	automático	gasolina	5
2016 Chevrolet Cheyenne LTZ Crew Cab G	8	6.2	automático	gasolina	4
2012 Chevrolet Cruze 4 ptas C	4	1.8	automático	gasolina	4
2011 Chevrolet Cruze 4 ptas C	4	1.8	automático	gasolina	4
2015 Chevrolet Cruze 1.8 M MT	4	1.8	manual	gasolina	4
2012 Chevrolet Malibu 4 ptas B	4	2.4	automático	gasolina	4
2015 Chevrolet Malibu 2.5 C LT TA	4	2.5	automático	gasolina premium	4
2017 Chevrolet Sonic Premier F TA	4	1.6	automático	gasolina	4
2017 Chevrolet Sonic Premier F TA	4	1.6	automático	gasolina	4
2016 Chevrolet Traverse LT B	6	3.6	automático	gasolina premium	5
2011 Chevrolet Traverse LT Tela C	6	3.6	automático	gasolina premium	5
2015 Chevrolet Trax C LTZ	4	1.8	automático	gasolina	5
2007 Chevrolet Uplander Regular A LS Tela	6	3.9	automático	gasolina premium	5
2015 Buick Enclave Premium D AWD	6	3.6	automático	gasolina premium	5
2011 Chevrolet Cruze 4 ptas A	4	1.8	automático	gasolina	4
CHEVROLET Pick Up 1971	6		Manual	Gasolina	
1998 Chevrolet Silverado LS	8	5.7	automático	gasolina	6
2014 Chevrolet Silverado 1500 1500 Cab Reg D	6	4.3	manual	gasolina	2
2003 Chevrolet Silverado 2500 2500 Cab Reg D	8	4.8	manual	gasolina	2
2017 Chevrolet Sonic Premier F TA	4	1.6	automático	gasolina	4
2016 Chevrolet Sonic LT D TM	4	1.6	manual	gasolina	4
2017 Chevrolet Sonic Premier F TA	4	1.6	automático	gasolina	4
2012 Chevrolet Sonic MT A	4	1.6	manual	gasolina	4
2016 Chevrolet Sonic LTZ F TA	4	1.6	automático	gasolina	4
2015 Chevrolet Spark LT B TM	4	1.2	manual	gasolina	5
2008 GMC Acadia C Piel AWD	6	3.6	automático	gasolina premium	5
2004 Saab 9-3 Linear B	4	2	automático	gasolina premium	4
2015 Chevrolet Aveo A LS Manual	4	1.6	manual	gasolina	4
2016 Chevrolet Aveo LT B MT	4	1.6	manual	gasolina	4
2012 Chevrolet Camaro 6.2 2SS AT	8	6.2	automático	gasolina premium	2
2013 Chevrolet Cheyenne 2500 Crew Cab C	8	5.3	automático	gasolina	4
2010 Chevrolet Cruze 4 ptas F	4	1.8	automático	gasolina premium	4
2002 CHEVROLET EXPRESS VAN 15 PASS. C	8	5.7	automático	gasolina	5
2014 Chevrolet Matiz A	4	1.0	manual	gasolina	5
1996 Chevrolet Silverado SLE N DELUXE	8	5.7	automático	gasolina	3
2016 Chevrolet Sonic LTZ F TA	4	1.6	automático	gasolina	4
