This is the collection of BMW vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW Serie 3 325Ci Cabrio	6	2.5	manual	gasolina premium	2
2005 BMW Series 1 120i Business Manual	4	2	manual	gasolina premium	5
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 BMW X5 3.0i MT Fórmula 1	6	3	manual	gasolina premium	5
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW Series 3 330i	6	3	manual	gasolina premium	4
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 3 320i Edition Exclusive	6	2.2	manual	gasolina premium	4
2005 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 5 530i A Top	6	3	automático	gasolina premium	4
BMW Serie 1 2005	4		Autostick	Gasolina	
BMW Serie 5 2005			Automatica	Gasolina	
2005 MINI MINI Cooper Pepper	4	1.6	manual	gasolina premium	3
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW Series 3 330i	6	3	manual	gasolina premium	4
2005 BMW X3 2.5i Lujo MT	6	2.5	manual	gasolina premium	5
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 MINI MINI Cooper Chili	4	1.6	manual	gasolina premium	3
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW X5 3.0i AT Fórmula 1	6	3	automático	gasolina premium	5
2005 BMW Series 3 330i	6	3	manual	gasolina premium	4
2006 BMW Serie 3 325i Premium	6	2.5	manual	gasolina premium	4
