This is the collection of Ford vehicles on soloautosmx website
Vehicle	Cylinder	Capacity	Transmission	Fuel Type	Door
FORD Lighting 2002	8		Automatica	Gasolina	
2002 FORD Mustang Equipado,Automático	8	4.6	automático	gasolina	2
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2002 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2002 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Ranger Cab Regular,XL Caja Corta	4	2.3	manual	gasolina	2
2003 Ford Windstar LX,4 Puertas	6	3.8	automático	gasolina	
2003 Ford Escape XLT,Piel	6	3	automático	gasolina	5
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford Crown Victoria Police Interceptor	8	4.6	automático	gasolina	4
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford F-250 XL Clima	8	4.6	manual	gasolina	2
2003 Ford F-350 XL	8	5.4	manual	gasolina	2
2003 Ford Windstar Limited	6	3.8	automático	gasolina	5
2003 Ford Econoline Van	6	4.2	automático	gasolina	5
2003 Ford Escape XLT,Tela	6	3	automático	gasolina	5
2003 Ford F-150 XL	6	4.2	manual	gasolina	2
2003 Ford F-250 XL	8	4.6	manual	gasolina	2
2003 Ford Expedition Eddie Bauer,4x4	8	5.4	automático	gasolina	5
2003 Ford Explorer Eddie Bauer,V8	8	4.6	automático	gasolina	5
2003 Ford Escape XLT,Tela	6	3	automático	gasolina	5
2003 Ford Windstar Limited	6	3.8	automático	gasolina	5
2003 Ford Lobo Doble Cabina,XLT	8	5.4	automático	gasolina	4
2003 Ford Mustang Equipado,Automático	8	4.6	automático	gasolina	2
2003 Ford Focus High Manual	4	2	manual	gasolina	3
2003 Ford Lobo Doble Cabina,Harley Centenario	8	5.4	automático	gasolina premium	4
2003 Ford Ranger (O) Cab Regular,XL Chasis	4	2.3	manual	gasolina	2
2003 Ford F-250 XL	8	4.6	manual	gasolina	2
2003 Ford Mustang Base,Manual	8	4.6	manual	gasolina	2
FORD Lighting 2003			Automatica	Gasolina	
2003 Ford Mustang Equipado,Automático	8	4.6	automático	gasolina	2
2003 Ford Econoline Van	6	4.2	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Mustang Base,Manual	8	4.6	manual	gasolina	2
2003 Ford Mustang Base,Manual	8	4.6	manual	gasolina	2
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
FORD Taurus 2003	4		Automatica	Gasolina	
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford Mustang Base,Manual	8	4.6	manual	gasolina	2
2003 Ford Grand Marquis Base	8	4.6	automático	gasolina	4
2003 Ford Expedition Eddie Bauer,4x4	8	5.4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford F-150 XL	6	4.2	manual	gasolina	2
2003 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Grand Marquis Base	8	4.6	automático	gasolina	4
2003 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Expedition Eddie Bauer,4x4	8	5.4	automático	gasolina	5
2003 Ford Mondeo Core Autom,4 Cilindros		2	automático	gasolina	4
2003 Ford Fiesta First	4	1.6	manual	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Explorer XLS,V6	6	4	automático	gasolina	5
2003 Ford Expedition Eddie Bauer	8	5.4	automático	gasolina	5
2003 Ford Excursion Eddie Bauer 4x2	10	6.8	automático	gasolina	5
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford F-450 XL	10	6.8	manual	gases licuados del petroleo	2
2003 Ford Escape XLS,Tela	6	3	automático	gasolina	5
2003 Ford Ka Base, Clima	4	1.6	manual	gasolina	3
2003 Ford Focus High Automático	4	2	automático	gasolina	3
