This is the collection of Ford vehicles on mercadolibre website
Vehicle	Year	Type	Engine	Transmission	Fuel Type	Door	Link
Ford Expedition Xl - $ 40,000.00	1997	SUV	5.4	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636148462-ford-expedition-xl-_JM
Ford Escort 1.6 Lx Tipico Aa At 1997 - $ 22,500.00	1997	Coupé	1.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635312424-ford-escort-16-lx-tipico-aa-at-1997-_JM
Ford Expedition 5.4 Xlt Plus Piel At 1997 - $ 34,900.00	1997	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634010317-ford-expedition-54-xlt-plus-piel-at-1997-_JM
Ford Taurus Xle - $ 25,000.00	1997			Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634848779-ford-taurus-xle-_JM
Ford F-150 Cabina Y Medi V8 4.5 - $ 47,000.00	1997				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-637156967-ford-f-150-cabina-y-medi-v8-45-_JM
Ford F-150 4.2 Xlt V6 Mt 1997 - $ 57,000.00	1997	Pick-Up	4.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636676068-ford-f-150-42-xlt-v6-mt-1997-_JM
Ford Expedition 5.4 Eddie Bauer Piel 4x2 At 1997 - $ 42,000.00	1997	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634551951-ford-expedition-54-eddie-bauer-piel-4x2-at-1997-_JM
Ford Mercury Airbag - $ 24,000.00	1997				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634738638-ford-mercury-airbag-_JM
Ford Expedition 5.4 Xlt Plus Piel Cd At - $ 43,500.00	1997	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-636240071-ford-expedition-54-xlt-plus-piel-cd-at-_JM
Ford F-150  Flotillera 4x4 Mt - $ 62,000.00	1997	Pick-Up	4.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634054521-ford-f-150-flotillera-4x4-mt-_JM
Ford Expedition 4.6 Xlt Tela At 1997 - $ 39,000.00	1997	SUV	4.6	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634770965-ford-expedition-46-xlt-tela-at-1997-_JM
Ford F-250 1997 - $ 93,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635562281-ford-f-250-1997-_JM
Ford Expedition 4.6 Xlt Plus Piel Cd At - $ 42,500.00	1997	SUV	4.6	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635250318-ford-expedition-46-xlt-plus-piel-cd-at-_JM
4x4 Ford F-150 Cabina Y Media - $ 86,500.00	1997				Gasolina	3	https://auto.mercadolibre.com.mx/MLM-634327531-4x4-ford-f-150-cabina-y-media-_JM
Ford Ranger 1997 Pick Up - $ 40,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637300870-ford-ranger-1997-pick-up-_JM
Ford Ranger Xlt Cabina Media - $ 65,000.00	1997	Pick-Up	4.0	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-636607539-ford-ranger-xlt-cabina-media-_JM
Ford Escort Escort Tipico - $ 30,000.00	1997	Vagoneta	1.8	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-635071393-ford-escort-escort-tipico-_JM
Ford F-150 4.6 Xl Cabina Regular 4x2 Mt 1997 - $ 65,000.00	1997	Pick-Up	4.6	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637274513-ford-f-150-46-xl-cabina-regular-4x2-mt-1997-_JM
Ford Mystique - $ 22,000.00	1997			Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-634860525-ford-mystique-_JM
Ford F-350 1997 Edición Especia - $ 160,000.00	1997				Diesel	4	https://auto.mercadolibre.com.mx/MLM-636032216-ford-f-350-1997-edicion-especia-_JM
Ford Explorer Xl V6 4x2 Mt 1997 - $ 45,000.00	1997	SUV	4.0	Manual	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-634684508-ford-explorer-xl-v6-4x2-mt-1997-_JM
Ford Mustang - $ 45,000.00	1997		8 cil	Automática	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635437587-ford-mustang-_JM
Ford Escort 1.6 Lx Tipico 5vel Aa Mt 1997 - $ 28,700.00	1997	Coupé	1.6	Manual	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-636495226-ford-escort-16-lx-tipico-5vel-aa-mt-1997-_JM
Ford Expedition 5.4 Eddie Bauer Piel 4x2 At 1997 - $ 50,000.00	1997	SUV	5.4	Automática	Gasolina	5	https://auto.mercadolibre.com.mx/MLM-635094181-ford-expedition-54-eddie-bauer-piel-4x2-at-1997-_JM
Ford F-250 - $ 158,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-632694502-ford-f-250-_JM
Ford F-150 4.2 Xlt V6 Mt - $ 65,000.00	1997	Pick-Up	4.2	Manual	Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637248904-ford-f-150-42-xlt-v6-mt-_JM
Ford Windstar . - $ 23,000.00	1997				Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637050655-ford-windstar--_JM
Ford Mustang 3.8 Convertible  - $ 45,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-635554484-ford-mustang-38-convertible-_JM
Ford F-350 1997 - $ 56,000.00	1997				Híbrido/Gasolina	2	https://auto.mercadolibre.com.mx/MLM-637403234-ford-f-350-1997-_JM
Ford Escort 1.6 Lx Tipico Aa At 1997 - $ 23,000.00	1997	Coupé	1.6	Automática	Gasolina	4	https://auto.mercadolibre.com.mx/MLM-637388098-ford-escort-16-lx-tipico-aa-at-1997-_JM
Ford F-250 Xlt - $ 56,000.00	1997				Gasolina	2	https://auto.mercadolibre.com.mx/MLM-634423048-ford-f-250-xlt-_JM
